"name","x.mni","y.mni","z.mni","anat_label","hemi"
"V45",-53,-10,24,"Left Postcentral Gyrus","L"
"V46",64,-8,25,"Right Postcentral Gyrus","R"
"V47",-6,2,53,"Left SMA","L"
"V48",54,-28,34,"Right SupraMarginal Gyrus","R"
"V49",19,-8,64,"Right Superior Frontal Gyrus","R"
"V50",-16,-5,71,"Left Superior Frontal Gyrus","L"
"V51",-10,-2,42,"Left Middle Cingulate Cortex","L"
"V52",37,1,-4,"Within 1 mm: Right Putamen","R"
"V53",13,-1,70,"Right SMA","R"
"V54",7,8,51,"Right SMA","R"
"V55",-45,0,9,"Left Rolandic Operculum","L"
"V56",49,8,-1,"Right Insula Lobe","R"
"V57",-34,3,4,"Within 1 mm: Left Insula Lobe","L"
"V58",-51,8,-2,"Left Temporal Pole","L"
"V59",-8,18,34,"Left Middle Cingulate Cortex","L"
"V60",36,10,1,"Within 1 mm: Right Insula Lobe","R"
"V61",32,-26,13,"Within 1 mm: Right Insula Lobe","R"
"V62",65,-33,20,"Right Superior Temporal Gyrus","R"
"V63",58,-16,7,"Right Superior Temporal Gyrus","R"
"V64",-38,-33,17,"Left Rolandic Operculum","L"
"V65",-60,-25,14,"Left Superior Temporal Gyrus","L"
"V66",-49,-26,5,"Left Superior Temporal Gyrus","L"
"V67",43,-23,20,"Right Rolandic Operculum","R"
"V68",-50,-34,26,"Left SupraMarginal Gyrus","L"
"V69",-53,-22,23,"Left SupraMarginal Gyrus","L"
"V70",-55,-9,12,"Left Rolandic Operculum","L"
"V71",56,-5,13,"Right Rolandic Operculum","R"
"V72",59,-17,29,"Right SupraMarginal Gyrus","R"
"V73",-30,-27,12,"Within 1 mm: Left Heschls Gyrus","L"
"V74",-41,-75,26,"Left Middle Occipital Gyrus","L"
"V75",6,67,-4,"Right Mid Orbital Gyrus","R"
"V76",8,48,-15,"Right Rectal Gyrus","R"
"V77",-13,-40,1,"Left Precuneus","L"
"V78",-18,63,-9,"Left Superior Orbital Gyrus","L"
"V79",-46,-61,21,"Left Middle Temporal Gyrus","L"
"V80",43,-72,28,"Right Middle Occipital Gyrus","R"
"V81",-44,12,-34,"Left Medial Temporal Pole","L"
"V82",46,16,-30,"Right Medial Temporal Pole","R"
"V83",-64,-23,-10,"Left Middle Temporal Gyrus","L"
"V84",-58,-26,-20,"Left Middle Temporal Gyrus","L"
"V85",27,16,-17,"Right Insula Lobe","R"
"V86",-44,-65,35,"Left Angular Gyrus","L"
"V87",-36,-75,44,"Left Angular Gyrus","L"
"V88",-7,-55,27,"Left Precuneus","L"
"V89",6,-59,35,"Right Precuneus","R"
"V90",-11,-56,16,"Left Precuneus","L"
"V91",-6,-49,13,"Left Precuneus","L"
"V92",8,-48,31,"Right Posterior Cingulate Cortex","R"
"V93",15,-63,26,"Right Precuneus","R"
"V94",-6,-37,44,"Left Middle Cingulate Cortex","L"
"V95",11,-54,17,"Right Precuneus","R"
"V96",52,-59,36,"Right Angular Gyrus","R"
"V97",23,33,48,"Right Superior Frontal Gyrus","R"
"V98",-10,39,52,"Left Superior Medial Gyrus","L"
"V99",-16,29,53,"Left Superior Frontal Gyrus","L"
"V100",-35,20,51,"Left Middle Frontal Gyrus","L"
"V101",22,39,39,"Right Superior Frontal Gyrus","R"
"V102",13,55,38,"Right Superior Medial Gyrus","R"
"V103",-10,55,39,"Left Superior Frontal Gyrus","L"
"V104",-20,45,39,"Left Superior Frontal Gyrus","L"
"V105",6,54,16,"Right Superior Medial Gyrus","R"
"V106",6,64,22,"Right Superior Medial Gyrus","R"
"V107",-7,51,-1,"Left Anterior Cingulate Cortex","L"
"V108",9,54,3,"Right Superior Medial Gyrus","R"
"V109",-6,44,-9,"Left Mid Orbital Gyrus","L"
"V110",8,42,-5,"Right Mid Orbital Gyrus","R"
"V111",-11,45,8,"Left Anterior Cingulate Cortex","L"
"V112",-6,38,36,"Left Superior Medial Gyrus","L"
"V113",-4,42,16,"Left Anterior Cingulate Cortex","L"
"V114",-20,64,19,"Left Superior Frontal Gyrus","L"
"V115",-8,48,24,"Left Superior Medial Gyrus","L"
"V116",64,-12,-18,"Right Middle Temporal Gyrus","R"
"V117",-56,-13,-10,"Left Middle Temporal Gyrus","L"
"V118",-58,-30,-4,"Left Middle Temporal Gyrus","L"
"V119",65,-31,-9,"Right Middle Temporal Gyrus","R"
"V120",-64,-41,-5,"Left Middle Temporal Gyrus","L"
"V121",13,30,59,"Right Superior Medial Gyrus","R"
"V122",8,41,19,"Right Anterior Cingulate Cortex","R"
"V123",52,-2,-16,"Right Middle Temporal Gyrus","R"
"V124",-26,-40,-8,"Left ParaHippocampal Gyrus","L"
"V125",27,-37,-13,"Right Fusiform Gyrus","R"
"V126",-34,-38,-16,"Left Fusiform Gyrus","L"
"V127",28,-77,-32,"Right Cerebellum","R"
"V128",52,7,-30,"Right Middle Temporal Gyrus","R"
"V129",-53,3,-27,"Left Middle Temporal Gyrus","L"
"V130",47,-50,29,"Right Angular Gyrus","R"
"V131",-49,-42,1,"Left Middle Temporal Gyrus","L"
"V132",-31,19,-19,"Left Insula Lobe","L"
"V133",-6,-35,31,"Left Posterior Cingulate Cortex","L"
"V134",-7,-71,42,"Left Precuneus","L"
"V135",11,-66,42,"Right Precuneus","R"
"V136",4,-48,51,"Right Precuneus","R"
"V137",-46,31,-13,"Left Inferior Frontal Gyrus (p. Orbitalis)","L"
"V138",-10,11,67,"Left SMA","L"
"V139",49,35,-12,"Right Inferior Frontal Gyrus (p. Orbitalis)","R"
"V140",8,-91,-7,"Right Lingual Gyrus","R"
"V141",17,-91,-14,"Right Lingual Gyrus","R"
"V142",-12,-95,-13,"Left Lingual Gyrus","L"
"V143",18,-47,-10,"Right Lingual Gyrus","R"
"V144",40,-72,14,"Right Middle Occipital Gyrus","R"
"V145",8,-72,11,"Right Calcarine Gyrus","R"
"V146",-8,-81,7,"Left Calcarine Gyrus","L"
"V147",-28,-79,19,"Left Middle Occipital Gyrus","L"
"V148",20,-66,2,"Right Lingual Gyrus","R"
"V149",-24,-91,19,"Left Middle Occipital Gyrus","L"
"V150",27,-59,-9,"Right Lingual Gyrus","R"
"V151",-15,-72,-8,"Left Lingual Gyrus","L"
"V152",-18,-68,5,"Left Calcarine Gyrus","L"
"V153",43,-78,-12,"Right Inferior Occipital Gyrus","R"
"V154",-47,-76,-10,"Left Inferior Occipital Gyrus","L"
"V155",-14,-91,31,"Left Superior Occipital Gyrus","L"
"V156",15,-87,37,"Right Cuneus","R"
"V157",29,-77,25,"Right Middle Occipital Gyrus","R"
"V158",20,-86,-2,"Right Lingual Gyrus","R"
"V159",15,-77,31,"Right Cuneus","R"
"V160",-16,-52,-1,"Left Lingual Gyrus","L"
"V161",42,-66,-8,"Right Inferior Temporal Gyrus","R"
"V162",24,-87,24,"Right Superior Occipital Gyrus","R"
"V163",6,-72,24,"Right Cuneus","R"
"V164",-42,-74,0,"Left Middle Occipital Gyrus","L"
"V165",26,-79,-12,"Right Fusiform Gyrus","R"
"V166",-16,-77,34,"Left Cuneus","L"
"V167",-3,-81,21,"Left Cuneus","L"
"V168",-40,-88,-6,"Left Middle Occipital Gyrus","L"
"V169",37,-84,13,"Right Middle Occipital Gyrus","R"
"V170",6,-81,6,"Right Calcarine Gyrus","R"
"V171",-26,-90,3,"Left Middle Occipital Gyrus","L"
"V172",-33,-79,-13,"Left Fusiform Gyrus","L"
"V173",37,-81,1,"Right Middle Occipital Gyrus","R"
"V174",-44,2,46,"Left Precentral Gyrus","L"
"V175",48,25,27,"Right Inferior Frontal Gyrus (p. Triangularis)","R"
"V176",-47,11,23,"Left Inferior Frontal Gyrus (p. Opercularis)","L"
"V177",-53,-49,43,"Left Inferior Parietal Lobule","L"
"V178",-23,11,64,"Left Superior Frontal Gyrus","L"
"V179",58,-53,-14,"Right Inferior Temporal Gyrus","R"
"V180",24,45,-15,"Right Superior Orbital Gyrus","R"
"V181",34,54,-13,"Right Middle Orbital Gyrus","R"
"V182",-21,38,-18,"Left Middle Orbital Gyrus","L"
"V183",-18,-76,-24,"Left Cerebellum","L"
"V184",17,-80,-34,"Right Cerebellum","R"
"V185",35,-67,-34,"Right Cerebellum","R"
"V186",47,10,33,"Right Inferior Frontal Gyrus (p. Opercularis)","R"
"V187",-41,6,33,"Left Precentral Gyrus","L"
"V188",-42,38,21,"Left Middle Frontal Gyrus","L"
"V189",38,43,15,"Right Middle Frontal Gyrus","R"
"V190",49,-42,45,"Right SupraMarginal Gyrus","R"
"V191",-28,-58,48,"Left Inferior Parietal Lobule","L"
"V192",48,-54,46,"Right Inferior Parietal Lobule","R"
"V193",32,14,56,"Right Middle Frontal Gyrus","R"
"V194",37,-65,40,"Right Angular Gyrus","R"
"V195",-42,-55,45,"Left Angular Gyrus","L"
"V196",40,18,40,"Right Middle Frontal Gyrus","R"
"V197",-34,55,4,"Left Middle Frontal Gyrus","L"
"V198",-42,45,-2,"Left Middle Orbital Gyrus","L"
"V199",33,-53,44,"Right Angular Gyrus","R"
"V200",43,49,-2,"Right Middle Orbital Gyrus","R"
"V201",-42,25,30,"Left Inferior Frontal Gyrus (p. Triangularis)","L"
"V202",-6,26,44,"Left Superior Medial Gyrus","L"
"V203",11,-39,50,"Right Middle Cingulate Cortex","R"
"V204",55,-45,37,"Right SupraMarginal Gyrus","R"
"V205",42,0,47,"RightPrecentral Gyrus","R"
"V206",31,33,26,"Right Middle Frontal Gyrus","R"
"V207",48,22,10,"Right Inferior Frontal Gyrus (p. Triangularis)","R"
"V208",-35,20,0,"Left Insula Lobe","L"
"V209",36,22,3,"Right Insula Lobe","R"
"V210",37,32,-2,"Right Inferior Frontal Gyrus (p. Orbitalis)","R"
"V211",34,16,-8,"Right Insula Lobe","R"
"V212",-10,34,22,"Within 1 mm: Left Anterior Cingulate Cortex","L"
"V213",-4,14,44,"Left SMA","L"
"V214",-28,52,21,"Left Middle Frontal Gyrus","L"
"V215",-4,30,28,"Left Anterior Cingulate Cortex","L"
"V216",5,23,37,"Right Middle Cingulate Cortex","R"
"V217",10,27,31,"Right Anterior Cingulate Cortex","R"
"V218",31,56,14,"Right Superior Frontal Gyrus","R"
"V219",26,50,27,"Right Middle Frontal Gyrus","R"
"V220",-39,51,17,"Left Middle Frontal Gyrus","L"
"V221",6,-24,30,"Right Middle Cingulate Cortex","R"
"V222",8,-22,0,"Right Thalamus","R"
"V223",-2,-13,12,"Left Thalamus","L"
"V224",-10,-18,7,"Left Thalamus","L"
"V225",12,-17,8,"Right Thalamus","R"
"V226",-5,-28,-4,"Within 3 mm: Left Thalamus","L"
"V227",-22,7,-5,"Left Putamen","L"
"V228",-12.7,10.7,12.2,"Left Caudate Nucleus","L"
"V229",31,-14,2,"Right Putamen","R"
"V230",23,10,1,"Right Putamen","R"
"V231",29,1,4,"Right Putamen","R"
"V232",-31,-11,0,"Left Putamen","L"
"V233",10,13,10,"Right Caudate Nucleus","R"
"V234",9,-4,6,"Within 1 mm: Right Thalamus","R"
"V235",54,-43,22,"Right Superior Temporal Gyrus","R"
"V236",-56,-50,10,"Left Middle Temporal Gyrus","L"
"V237",-55,-40,14,"Left Superior Temporal Gyrus","L"
"V238",52,-33,8,"Right Superior Temporal Gyrus","R"
"V239",51,-29,-4,"Right Middle Temporal Gyrus","R"
"V240",56,-46,11,"Right Middle Temporal Gyrus","R"
"V241",53,33,1,"Right Inferior Frontal Gyrus (p. Triangularis)","R"
"V242",-49,25,-1,"Left Inferior Frontal Gyrus (p. Triangularis)","L"
"V243",-16,-65,-20,"Left Cerebellum","L"
"V244",-32,-55,-25,"Left Cerebellum","L"
"V245",22,-58,-23,"Right Cerebellum","R"
"V246",1,-62,-18,"Cerebellar Vermis","R"
"V247",33,-12,-34,"Right Fusiform Gyrus","R"
"V248",-31,-10,-36,"Left Fusiform Gyrus","L"
"V251",10,-62,61,"Right Precuneus","R"
"V252",-52,-63,5,"Left Middle Temporal Gyrus","L"
"V253",-47,-51,-21,"Left Inferior Temporal Gyrus","L"
"V254",46,-47,-17,"Right Inferior Temporal Gyrus","R"
"V255",47,-30,49,"Right Postcentral Gyrus","R"
"V256",22,-65,48,"Right Superior Parietal Lobule","R"
"V257",46,-59,4,"Right Middle Temporal Gyrus","R"
"V258",25,-58,60,"Right Superior Parietal Lobule","R"
"V259",-33,-46,47,"Left Inferior Parietal Lobule","L"
"V260",-27,-71,37,"Left Middle Occipital Gyrus","L"
"V261",-32,-1,54,"Left Precentral Gyrus","L"
"V262",-42,-60,-9,"Left Inferior Temporal Gyrus","L"
"V263",-17,-59,64,"Left Superior Parietal Lobule","L"
"V264",29,-5,54,"RightPrecentral Gyrus","R"
"V265",22.8,-2.2,-19,"Right Amygdala","R"
"V266",-23.4,-3.4,-18.5,"Left Amygdala","L"
"V267",2,24.5,-13,"Right Mid Orbital Gyrus","R"
"V268",56,-54,19,"Right TPJ","R"
"V269",-56,-56,18,"Left TPJ","L"
"V270",10,8,-8,"Right Ventral Striatum","R"
"V271",-10,8,-8,"Left Ventral Striatum","L"
