,estimate,estimate1,estimate2,statistic,p.value,parameter,conf.low,conf.high,method,alternative,nodenum,density,metric,term,std.error,nodename
23,-66.69562251,102.3027353,168.9983578,-3.372394762,0.001201906,72.0129076,-106.1200956,-27.27114946,Welch Two Sample t-test,two.sided,218,0.15,betweenness.node,NA,NA,Right Superior Frontal Gyrus
24,-61.9436526,99.11034495,161.0539975,-3.187754309,0.002135966,70.7334136,-100.6919973,-23.19530794,Welch Two Sample t-test,two.sided,218,0.16,betweenness.node,NA,NA,Right Superior Frontal Gyrus
25,-56.54732627,97.94390843,154.4912347,-2.96141677,0.004233523,66.97925131,-94.66069804,-18.43395449,Welch Two Sample t-test,two.sided,218,0.17,betweenness.node,NA,NA,Right Superior Frontal Gyrus
26,-122.0625488,128.3231111,250.3856598,-3.177513137,0.00226725,65.493021,-198.7706373,-45.35446022,Welch Two Sample t-test,two.sided,235,0.08,betweenness.node,NA,NA,Right Superior Temporal Gyrus
27,-130.9908125,130.0817229,261.0725355,-3.397580807,0.001219061,59.36720532,-208.1274894,-53.85413568,Welch Two Sample t-test,two.sided,235,0.09,betweenness.node,NA,NA,Right Superior Temporal Gyrus
28,-105.4650766,134.1107742,239.5758508,-2.952377381,0.004438887,62.42873156,-176.8627539,-34.06739919,Welch Two Sample t-test,two.sided,235,0.1,betweenness.node,NA,NA,Right Superior Temporal Gyrus
29,6.591025641,13.64102564,7.05,2.938257197,0.004502316,68.06498983,2.114916632,11.06713465,Welch Two Sample t-test,two.sided,5,0.04,degree,NA,NA,Right Rectal Gyrus
30,7.741666667,16.66666667,8.925,3.043997714,0.003329705,67.27613098,2.665688616,12.81764472,Welch Two Sample t-test,two.sided,5,0.05,degree,NA,NA,Right Rectal Gyrus
31,8.644230769,19.76923077,11.125,2.950451458,0.004332864,68.88459729,2.799266293,14.48919525,Welch Two Sample t-test,two.sided,5,0.06,degree,NA,NA,Right Rectal Gyrus
32,9.529487179,23.17948718,13.65,2.956187814,0.004255954,69.22841566,3.099013544,15.95996081,Welch Two Sample t-test,two.sided,5,0.07,degree,NA,NA,Right Rectal Gyrus
33,-5.417948718,5.282051282,10.7,-3.103380531,0.00279582,67.38084553,-8.902261176,-1.93363626,Welch Two Sample t-test,two.sided,218,0.03,degree,NA,NA,Right Superior Frontal Gyrus
34,-7.038461538,7.461538462,14.5,-3.085650323,0.002905475,70.20128847,-11.58760348,-2.4893196,Welch Two Sample t-test,two.sided,218,0.04,degree,NA,NA,Right Superior Frontal Gyrus
35,-8.157692308,9.692307692,17.85,-3.160460012,0.002301403,72.27310285,-13.30283338,-3.01255124,Welch Two Sample t-test,two.sided,218,0.05,degree,NA,NA,Right Superior Frontal Gyrus
36,8.898076923,20.92307692,12.025,2.924102774,0.004593767,73.28717407,2.83376507,14.96238878,Welch Two Sample t-test,two.sided,49,0.06,degree,NA,NA,Right Superior Frontal Gyrus
37,-9.146153846,12.15384615,21.3,-3.220646763,0.001918421,72.22002883,-14.80699678,-3.485310907,Welch Two Sample t-test,two.sided,218,0.06,degree,NA,NA,Right Superior Frontal Gyrus
38,-10.08269231,14.69230769,24.775,-3.169224812,0.00223796,72.59045627,-16.42389185,-3.741492761,Welch Two Sample t-test,two.sided,218,0.07,degree,NA,NA,Right Superior Frontal Gyrus
39,10.30769231,26.30769231,16,2.916076894,0.004689188,73.98150204,3.264458767,17.35092585,Welch Two Sample t-test,two.sided,49,0.08,degree,NA,NA,Right Superior Frontal Gyrus
40,-10.8275641,16.8974359,27.725,-3.154717911,0.002326676,73.62084632,-17.66692007,-3.988208139,Welch Two Sample t-test,two.sided,218,0.08,degree,NA,NA,Right Superior Frontal Gyrus
41,-11.38782051,19.48717949,30.875,-3.067696502,0.003008468,74.35218138,-18.78390483,-3.991736198,Welch Two Sample t-test,two.sided,218,0.09,degree,NA,NA,Right Superior Frontal Gyrus
42,-13.29423077,21.23076923,34.525,-3.361190577,0.001233176,73.61237619,-21.17585792,-5.412603617,Welch Two Sample t-test,two.sided,218,0.1,degree,NA,NA,Right Superior Frontal Gyrus
43,-14.08717949,23.51282051,37.6,-3.434364555,0.000978187,73.73878207,-22.26073523,-5.913623742,Welch Two Sample t-test,two.sided,218,0.11,degree,NA,NA,Right Superior Frontal Gyrus
44,-14.90641026,25.74358974,40.65,-3.509918522,0.000768694,73.65478837,-23.36928022,-6.443540295,Welch Two Sample t-test,two.sided,218,0.12,degree,NA,NA,Right Superior Frontal Gyrus
45,-14.96538462,28.38461538,43.35,-3.339935059,0.001306051,75.26188523,-23.89096974,-6.03979949,Welch Two Sample t-test,two.sided,218,0.13,degree,NA,NA,Right Superior Frontal Gyrus
46,-15.29551282,31.17948718,46.475,-3.326443009,0.001361781,75.33939111,-24.45483834,-6.136187301,Welch Two Sample t-test,two.sided,218,0.14,degree,NA,NA,Right Superior Frontal Gyrus
47,-15.80705128,33.71794872,49.525,-3.36010448,0.00122344,75.63843288,-25.17726736,-6.436835209,Welch Two Sample t-test,two.sided,218,0.15,degree,NA,NA,Right Superior Frontal Gyrus
48,-15.53910256,36.43589744,51.975,-3.166488248,0.002222286,75.89446829,-25.31317987,-5.765025261,Welch Two Sample t-test,two.sided,218,0.16,degree,NA,NA,Right Superior Frontal Gyrus
49,-15.97820513,38.87179487,54.85,-3.159485921,0.002272205,75.66933683,-26.05123706,-5.905173197,Welch Two Sample t-test,two.sided,218,0.17,degree,NA,NA,Right Superior Frontal Gyrus
50,-15.38269231,41.69230769,57.075,-2.965293948,0.00403714,76.10382046,-25.71442049,-5.050964128,Welch Two Sample t-test,two.sided,218,0.18,degree,NA,NA,Right Superior Frontal Gyrus
51,-15.67115385,44.15384615,59.825,-2.926755871,0.004513554,76.1355355,-26.33514863,-5.00715906,Welch Two Sample t-test,two.sided,218,0.19,degree,NA,NA,Right Superior Frontal Gyrus
52,-15.89679487,47.12820513,63.025,-2.910114891,0.004733776,76.22186545,-26.77599442,-5.017595321,Welch Two Sample t-test,two.sided,218,0.2,degree,NA,NA,Right Superior Frontal Gyrus
53,-5.214102564,6.435897436,11.65,-3.057087527,0.003167545,69.72950157,-8.616003508,-1.81220162,Welch Two Sample t-test,two.sided,14,0.04,degree,NA,NA,Within 1 mm: Left Middle Cingulate Cortex
54,-7.134615385,10.61538462,17.75,-2.969551491,0.004097009,69.13488362,-11.92748492,-2.341745853,Welch Two Sample t-test,two.sided,14,0.06,degree,NA,NA,Within 1 mm: Left Middle Cingulate Cortex
55,-0.134983431,0.077515855,0.212499286,-3.016788328,0.003805177,57.32691604,-0.224570843,-0.04539602,Welch Two Sample t-test,two.sided,218,0.03,eigen.cent,NA,NA,Right Superior Frontal Gyrus
56,-0.154372446,0.164839295,0.319211741,-2.921490313,0.004689391,69.82177131,-0.259763846,-0.048981046,Welch Two Sample t-test,two.sided,218,0.07,eigen.cent,NA,NA,Right Superior Frontal Gyrus
57,-0.15407035,0.180567573,0.334637924,-2.904423457,0.004900479,71.03043092,-0.259841866,-0.048298834,Welch Two Sample t-test,two.sided,218,0.08,eigen.cent,NA,NA,Right Superior Frontal Gyrus
58,-0.173806259,0.20583263,0.379638889,-3.156324034,0.002335055,71.84524983,-0.283582439,-0.064030079,Welch Two Sample t-test,two.sided,218,0.1,eigen.cent,NA,NA,Right Superior Frontal Gyrus
59,-0.170051467,0.223394117,0.393445584,-3.079619243,0.002921004,72.97244843,-0.280102163,-0.060000771,Welch Two Sample t-test,two.sided,218,0.11,eigen.cent,NA,NA,Right Superior Frontal Gyrus
60,-0.172795078,0.236249349,0.409044427,-3.146534648,0.002392695,72.90268375,-0.282244958,-0.063345198,Welch Two Sample t-test,two.sided,218,0.12,eigen.cent,NA,NA,Right Superior Frontal Gyrus
61,-0.169346953,0.254698233,0.424045186,-3.022981763,0.003435997,74.12729097,-0.280965735,-0.057728171,Welch Two Sample t-test,two.sided,218,0.13,eigen.cent,NA,NA,Right Superior Frontal Gyrus
62,-0.170155893,0.268943175,0.439099067,-3.060150647,0.00308051,74.03602354,-0.280947914,-0.059363871,Welch Two Sample t-test,two.sided,218,0.14,eigen.cent,NA,NA,Right Superior Frontal Gyrus
63,-0.16785381,0.284691563,0.452545373,-3.022959877,0.003422248,75.16732868,-0.278463858,-0.057243762,Welch Two Sample t-test,two.sided,218,0.15,eigen.cent,NA,NA,Right Superior Frontal Gyrus
64,-0.082892363,0.387970993,0.470863356,-3.291352608,0.001519917,75.22399633,-0.133060793,-0.032723932,Welch Two Sample t-test,two.sided,195,0.13,local.clustering,NA,NA,Left Angular Gyrus
65,-0.197641248,0.318042311,0.515683558,-3.211357006,0.002407731,46.16143948,-0.321512139,-0.073770356,Welch Two Sample t-test,two.sided,172,0.03,local.clustering,NA,NA,Left Fusiform Gyrus
66,-0.134052372,0.334132051,0.468184423,-3.272412233,0.001655827,70.2018681,-0.215749142,-0.052355602,Welch Two Sample t-test,two.sided,187,0.06,local.clustering,NA,NA,Left Precentral Gyrus
67,-0.170770932,0.312836634,0.483607566,-3.265226453,0.00177636,62.5526867,-0.275298519,-0.066243345,Welch Two Sample t-test,two.sided,196,0.04,local.clustering,NA,NA,Right Middle Frontal Gyrus
68,0.199928789,0.517006225,0.317077437,3.122032629,0.003037561,48.08135776,0.071177348,0.32868023,Welch Two Sample t-test,two.sided,80,0.02,local.clustering,NA,NA,Right Middle Occipital Gyrus
69,-0.180689118,0.270616997,0.451306115,-3.111453883,0.003075486,49.95255862,-0.297333403,-0.064044833,Welch Two Sample t-test,two.sided,26,0.03,local.clustering,NA,NA,Right Postcentral Gyrus
70,0.114565947,0.483447025,0.368881079,3.105241118,0.002773166,67.89484415,0.040942292,0.188189601,Welch Two Sample t-test,two.sided,235,0.08,local.clustering,NA,NA,Right Superior Temporal Gyrus
71,0.091962598,0.461845381,0.369882782,2.939567856,0.004396887,73.10113445,0.029614345,0.154310852,Welch Two Sample t-test,two.sided,235,0.09,local.clustering,NA,NA,Right Superior Temporal Gyrus
72,0.069112552,0.498023669,0.428911118,2.959528605,0.004144001,73.52679081,0.022576596,0.115648508,Welch Two Sample t-test,two.sided,235,0.15,local.clustering,NA,NA,Right Superior Temporal Gyrus
73,0.074045522,0.495198779,0.421153257,2.939020615,0.004347778,76.71798146,0.023875026,0.124216017,Welch Two Sample t-test,two.sided,235,0.16,local.clustering,NA,NA,Right Superior Temporal Gyrus
74,0.075458553,0.499996622,0.424538069,3.003473069,0.003606903,76.41592993,0.025424642,0.125492465,Welch Two Sample t-test,two.sided,235,0.17,local.clustering,NA,NA,Right Superior Temporal Gyrus
75,0.075568916,0.508920596,0.43335168,3.175016669,0.002159944,76.4721379,0.028169633,0.122968199,Welch Two Sample t-test,two.sided,235,0.18,local.clustering,NA,NA,Right Superior Temporal Gyrus
76,0.074850784,0.513695325,0.438844541,3.175610155,0.002152037,76.89574248,0.027914866,0.121786702,Welch Two Sample t-test,two.sided,235,0.19,local.clustering,NA,NA,Right Superior Temporal Gyrus
77,0.061640537,0.512887022,0.451246485,3.115785162,0.00264119,71.45987236,0.02219814,0.101082934,Welch Two Sample t-test,two.sided,235,0.2,local.clustering,NA,NA,Right Superior Temporal Gyrus
78,0.001624431,0.006712603,0.005088173,2.96376346,0.004117461,72.00695079,0.00053182,0.002717041,Welch Two Sample t-test,two.sided,100,0.01,closeness,NA,NA,Left Middle Frontal Gyrus
79,0.005189601,0.014990801,0.0098012,3.503611599,0.000785899,73.37439504,0.002237798,0.008141404,Welch Two Sample t-test,two.sided,133,0.02,closeness,NA,NA,Left Posterior Cingulate Cortex
80,0.00509261,0.014556628,0.009464018,3.275171383,0.00160429,74.46180396,0.001994695,0.008190524,Welch Two Sample t-test,two.sided,31,0.02,closeness,NA,NA,Right SMA
81,0.009199107,0.025867759,0.016668652,2.939062105,0.004523962,66.4250771,0.002950714,0.0154475,Welch Two Sample t-test,two.sided,72,0.03,closeness,NA,NA,Right SupraMarginal Gyrus
82,0.004702608,0.014563964,0.009861357,3.033093018,0.003384267,70.65692969,0.001610872,0.007794343,Welch Two Sample t-test,two.sided,268,0.02,closeness,NA,NA,Right Ventral Striatum
83,0.001870287,0.00686749,0.004997203,3.516221191,0.000758505,72.6261834,0.000810115,0.002930459,Welch Two Sample t-test,two.sided,57,0.01,closeness,NA,NA,Within 1 mm: Left Insula Lobe
84,-0.001292412,0.002746157,0.00403857,-2.963026466,0.004051152,76.99997081,-0.002160957,-0.000423867,Welch Two Sample t-test,two.sided,189,0.03,page.rank,NA,NA,Right Middle Frontal Gyrus
85,-0.001227375,0.002886426,0.004113801,-3.017108391,0.003457828,76.99329586,-0.002037429,-0.000417321,Welch Two Sample t-test,two.sided,189,0.05,page.rank,NA,NA,Right Middle Frontal Gyrus
86,-0.001200972,0.002864749,0.004065721,-3.161044207,0.002248653,76.97438182,-0.001957511,-0.000444433,Welch Two Sample t-test,two.sided,189,0.06,page.rank,NA,NA,Right Middle Frontal Gyrus
87,0.001653604,0.004414548,0.002760943,3.030386086,0.003446667,68.36136684,0.000564832,0.002742377,Welch Two Sample t-test,two.sided,5,0.04,page.rank,NA,NA,Right Rectal Gyrus
88,0.001531379,0.004320381,0.002789002,3.08625035,0.002962878,65.92070645,0.000540673,0.002522085,Welch Two Sample t-test,two.sided,5,0.05,page.rank,NA,NA,Right Rectal Gyrus
89,0.001360948,0.004341208,0.00298026,2.928767313,0.004622299,68.25422428,0.00043375,0.002288146,Welch Two Sample t-test,two.sided,5,0.07,page.rank,NA,NA,Right Rectal Gyrus
90,0.001135616,0.004251733,0.003116117,2.952694005,0.004222703,73.78528892,0.00036924,0.001901992,Welch Two Sample t-test,two.sided,5,0.13,page.rank,NA,NA,Right Rectal Gyrus
91,-0.001565903,0.002854529,0.004420432,-2.911840829,0.00472475,75.31241238,-0.002637125,-0.000494682,Welch Two Sample t-test,two.sided,218,0.03,page.rank,NA,NA,Right Superior Frontal Gyrus
92,-0.001608616,0.002942501,0.004551116,-2.988238631,0.003785429,75.40962912,-0.0026809,-0.000536331,Welch Two Sample t-test,two.sided,218,0.04,page.rank,NA,NA,Right Superior Frontal Gyrus
93,-0.001616242,0.002945642,0.004561884,-3.299510075,0.001478933,75.61199805,-0.00259193,-0.000640554,Welch Two Sample t-test,two.sided,218,0.05,page.rank,NA,NA,Right Superior Frontal Gyrus
94,-0.001487839,0.003023799,0.004511638,-3.266360179,0.001637124,75.84478095,-0.002395084,-0.000580595,Welch Two Sample t-test,two.sided,218,0.06,page.rank,NA,NA,Right Superior Frontal Gyrus
95,-0.001386945,0.003129661,0.004516606,-3.112968881,0.002615361,75.55333082,-0.002274396,-0.000499495,Welch Two Sample t-test,two.sided,218,0.07,page.rank,NA,NA,Right Superior Frontal Gyrus
96,-0.001349614,0.003108617,0.004458231,-3.150115183,0.002333817,76.03249344,-0.002202906,-0.000496321,Welch Two Sample t-test,two.sided,218,0.08,page.rank,NA,NA,Right Superior Frontal Gyrus
97,-0.001263438,0.003171226,0.004434664,-3.035075824,0.003288657,76.23605792,-0.002092487,-0.000434388,Welch Two Sample t-test,two.sided,218,0.09,page.rank,NA,NA,Right Superior Frontal Gyrus
98,-0.001365272,0.003099454,0.004464727,-3.396283795,0.001093042,75.3805416,-0.002166011,-0.000564533,Welch Two Sample t-test,two.sided,218,0.1,page.rank,NA,NA,Right Superior Frontal Gyrus
99,-0.001333567,0.00310533,0.004438898,-3.493482936,0.000801731,75.33285546,-0.002093957,-0.000573177,Welch Two Sample t-test,two.sided,218,0.11,page.rank,NA,NA,Right Superior Frontal Gyrus
100,-0.001400369,0.003115341,0.00451571,-3.943322203,0.000176927,76.316014,-0.002107613,-0.000693125,Welch Two Sample t-test,two.sided,218,0.12,page.rank,NA,NA,Right Superior Frontal Gyrus
101,-0.001303866,0.003154236,0.004458102,-3.761141727,0.000328154,76.89932493,-0.001994183,-0.000613548,Welch Two Sample t-test,two.sided,218,0.13,page.rank,NA,NA,Right Superior Frontal Gyrus
102,-0.001248123,0.00320428,0.004452403,-3.789667171,0.000297862,76.95225182,-0.001903948,-0.000592299,Welch Two Sample t-test,two.sided,218,0.14,page.rank,NA,NA,Right Superior Frontal Gyrus
103,-0.001207203,0.003228657,0.004435861,-3.82670984,0.000262564,76.98476716,-0.001835382,-0.000579025,Welch Two Sample t-test,two.sided,218,0.15,page.rank,NA,NA,Right Superior Frontal Gyrus
104,-0.001123841,0.003257564,0.004381405,-3.606120635,0.000549685,76.99988822,-0.001744413,-0.00050327,Welch Two Sample t-test,two.sided,218,0.16,page.rank,NA,NA,Right Superior Frontal Gyrus
105,-0.001080903,0.003275006,0.004355909,-3.557676017,0.000644353,76.98209607,-0.001685894,-0.000475912,Welch Two Sample t-test,two.sided,218,0.17,page.rank,NA,NA,Right Superior Frontal Gyrus
106,-0.00091588,0.003314263,0.004230143,-3.015303607,0.003477618,76.88652753,-0.001520726,-0.000311034,Welch Two Sample t-test,two.sided,218,0.18,page.rank,NA,NA,Right Superior Frontal Gyrus
107,-0.000900482,0.003321029,0.004221512,-3.032189516,0.00330832,76.91473956,-0.001491844,-0.000309121,Welch Two Sample t-test,two.sided,218,0.19,page.rank,NA,NA,Right Superior Frontal Gyrus
108,-0.000859222,0.003356947,0.004216169,-2.953984123,0.004161026,76.86602345,-0.001438432,-0.000280012,Welch Two Sample t-test,two.sided,218,0.2,page.rank,NA,NA,Right Superior Frontal Gyrus
109,-0.001177914,0.00271241,0.003890324,-2.974616195,0.003954032,74.36738661,-0.001966874,-0.000388954,Welch Two Sample t-test,two.sided,14,0.04,page.rank,NA,NA,Within 1 mm: Left Middle Cingulate Cortex
110,-0.000834977,0.003197773,0.00403275,-2.971639885,0.003975602,75.23955488,-0.001394693,-0.000275262,Welch Two Sample t-test,two.sided,14,0.15,page.rank,NA,NA,Within 1 mm: Left Middle Cingulate Cortex
111,-0.728291156,-0.389240425,0.339050731,-3.750734298,0.000408918,58.06140662,-1.1169618,-0.339620512,Welch Two Sample t-test,two.sided,4,0.03,within.module.deg.zscore,NA,NA,Left Inferior Temporal Gyrus
112,-0.70706185,-0.305147123,0.401914726,-3.435761428,0.00104297,63.94978524,-1.11819045,-0.29593325,Welch Two Sample t-test,two.sided,4,0.04,within.module.deg.zscore,NA,NA,Left Inferior Temporal Gyrus
113,-0.744662159,-0.282198989,0.462463169,-3.587000845,0.000643431,64.694423,-1.159305553,-0.330018764,Welch Two Sample t-test,two.sided,4,0.05,within.module.deg.zscore,NA,NA,Left Inferior Temporal Gyrus
114,-0.624969998,-0.303326453,0.321643545,-3.39292447,0.001149484,68.92515692,-0.992442129,-0.257497867,Welch Two Sample t-test,two.sided,4,0.06,within.module.deg.zscore,NA,NA,Left Inferior Temporal Gyrus
115,-0.603260889,-0.221053288,0.382207601,-3.125984271,0.002548665,72.57641326,-0.987912679,-0.218609098,Welch Two Sample t-test,two.sided,4,0.08,within.module.deg.zscore,NA,NA,Left Inferior Temporal Gyrus
116,-0.586319582,-0.184760919,0.401558663,-3.08051638,0.002917542,72.63491516,-0.965682018,-0.206957146,Welch Two Sample t-test,two.sided,4,0.09,within.module.deg.zscore,NA,NA,Left Inferior Temporal Gyrus
117,-0.690058899,-0.213940796,0.476118102,-3.596115422,0.000596021,70.32753409,-1.072740274,-0.307377523,Welch Two Sample t-test,two.sided,4,0.1,within.module.deg.zscore,NA,NA,Left Inferior Temporal Gyrus
118,-0.690066657,-0.239160548,0.450906109,-3.399539034,0.001115684,70.31550276,-1.094882126,-0.285251188,Welch Two Sample t-test,two.sided,4,0.11,within.module.deg.zscore,NA,NA,Left Inferior Temporal Gyrus
119,-0.671217802,-0.226862234,0.444355567,-3.346559325,0.001301024,72.26357877,-1.07102092,-0.271414683,Welch Two Sample t-test,two.sided,4,0.12,within.module.deg.zscore,NA,NA,Left Inferior Temporal Gyrus
120,-0.670584898,-0.210805785,0.459779113,-3.304534049,0.001471324,73.63143722,-1.074962852,-0.266206945,Welch Two Sample t-test,two.sided,4,0.13,within.module.deg.zscore,NA,NA,Left Inferior Temporal Gyrus
121,-0.620536721,-0.218162808,0.402373913,-3.138163737,0.002431774,74.87793565,-1.014463129,-0.226610313,Welch Two Sample t-test,two.sided,4,0.14,within.module.deg.zscore,NA,NA,Left Inferior Temporal Gyrus
122,-0.604734049,-0.196660938,0.408073111,-2.922495948,0.004587166,74.99641042,-1.016947777,-0.192520322,Welch Two Sample t-test,two.sided,4,0.15,within.module.deg.zscore,NA,NA,Left Inferior Temporal Gyrus
123,0.684634952,0.397387738,-0.287247214,3.044508159,0.00355241,55.79730571,0.234119304,1.135150601,Welch Two Sample t-test,two.sided,69,0.01,within.module.deg.zscore,NA,NA,Left SupraMarginal Gyrus
124,0.665019254,0.398423525,-0.266595729,3.021730759,0.003851136,53.48083357,0.22368946,1.106349048,Welch Two Sample t-test,two.sided,116,0.01,within.module.deg.zscore,NA,NA,Right Middle Temporal Gyrus
125,-0.614966213,-0.379239299,0.235726914,-3.02005659,0.003789422,56.52776171,-1.022796848,-0.207135578,Welch Two Sample t-test,two.sided,128,0.01,within.module.deg.zscore,NA,NA,Right Middle Temporal Gyrus
126,-0.548082256,-0.347956738,0.200125517,-3.007865216,0.003645718,70.47847279,-0.911457958,-0.184706553,Welch Two Sample t-test,two.sided,14,0.03,within.module.deg.zscore,NA,NA,Within 1 mm: Left Middle Cingulate Cortex
127,-0.550296512,-0.379144981,0.17115153,-3.066064889,0.003063819,71.24100008,-0.908147959,-0.192445064,Welch Two Sample t-test,two.sided,14,0.04,within.module.deg.zscore,NA,NA,Within 1 mm: Left Middle Cingulate Cortex
128,-0.527214811,-0.382133697,0.145081114,-2.926369774,0.004579672,72.35195802,-0.886327384,-0.168102238,Welch Two Sample t-test,two.sided,14,0.05,within.module.deg.zscore,NA,NA,Within 1 mm: Left Middle Cingulate Cortex
129,-0.506127239,-0.389688416,0.116438823,-2.891287174,0.004997238,76.17686363,-0.85476155,-0.157492928,Welch Two Sample t-test,two.sided,14,0.08,within.module.deg.zscore,NA,NA,Within 1 mm: Left Middle Cingulate Cortex
130,-0.578519844,-0.423711138,0.154808706,-3.179304306,0.002145636,75.05579777,-0.941006877,-0.216032811,Welch Two Sample t-test,two.sided,14,0.09,within.module.deg.zscore,NA,NA,Within 1 mm: Left Middle Cingulate Cortex
131,-0.563143835,-0.317191191,0.245952644,-2.931142947,0.004477256,74.80886217,-0.945891129,-0.180396541,Welch Two Sample t-test,two.sided,14,0.14,within.module.deg.zscore,NA,NA,Within 1 mm: Left Middle Cingulate Cortex
132,-0.186182675,0.501540333,0.687723008,-3.533761339,0.001030245,41.01974498,-0.292584327,-0.079781023,Welch Two Sample t-test,two.sided,4,0.03,part.coeff,NA,NA,Left Inferior Temporal Gyrus
133,-0.165060589,0.556232589,0.721293178,-3.637128556,0.000719013,44.03344439,-0.256520272,-0.073600907,Welch Two Sample t-test,two.sided,4,0.04,part.coeff,NA,NA,Left Inferior Temporal Gyrus
134,-0.04373741,0.745240407,0.788977818,-2.972731175,0.004617272,47.66735026,-0.073324954,-0.014149866,Welch Two Sample t-test,two.sided,27,0.15,part.coeff,NA,NA,Left Postcentral Gyrus
135,0.156837136,0.688637379,0.531800242,3.101260417,0.002998577,56.80111541,0.055560642,0.25811363,Welch Two Sample t-test,two.sided,159,0.04,part.coeff,NA,NA,Right Cuneus
